Title,Polish Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review
test,Walkiria w ogniu,Evan Currie,,7,"7,3",,,,,,,Przeczytane,,
test,Narodziny Walkirii,Evan Currie,,7,"7,2",,,,,,,Przeczytane,,
test,Na srebrnych skrzydłach,Evan Currie,,7,"7,0",,,,,,,Przeczytane,,
test,Masa Krytyczna,Craig Alanson,,,"7,8",,,,,,,Przeczytane,,
test,Walkiria,Craig Alanson,,,"7,6",,,,,,,Przeczytane,,
test,Armagedon,Craig Alanson,,,"7,4",,,,,,,Przeczytane,,
test,Renegaci,Craig Alanson,,,"7,3",,,,,,,Przeczytane,,
test,Mavericks,Craig Alanson,,,"7,1",,,,,,,Przeczytane,,
test,Godzina zero,Craig Alanson,,,"7,3",,,,,,,Przeczytane,,
test,Black Ops,Craig Alanson,,,"7,2",,,,,,,Przeczytane,,
test,Kłopoty na Paradise,Craig Alanson,,,"6,9",,,,,,,Przeczytane,,
test,Paradise,Craig Alanson,,,"7,2",,,,,,,Przeczytane,,
test,SpecOps,Craig Alanson,,,"7,2",,,,,,,Przeczytane,,
test,Dzień Kolumba,Craig Alanson,,,"7,3",,,,,,,Przeczytane,,
test,Świat zieleni,B.V. Larson,,,"7,1",,,,,2024-10-13,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Skraju,B.V. Larson,,,"7,1",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Szkła,B.V. Larson,,,"7,1",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Klonów,B.V. Larson,,,"7,0",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Tatuażysta z Auschwitz,Heather Morris,,1,"7,2",,,,,,,Przeczytane,,
test,Los pokonanych,Kel Kade,,6,"7,0",,,,,,,Przeczytane,,
test,Front burzowy,Jim Butcher,,6,"6,6",,,,,,,Przeczytane,,
test,Placówka Basilisk,David Weber,,,"7,6",,,,,,,Chcę przeczytać,,
