ID,Polski Tytuł,Autor,ISBN,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe,Tytuł
4905356,"Nasze imię Legion, nasze imię Bob",Dennis E. Taylor,,Bobiverse (tom 1),"7,4",1263,2973,203,8,https://lubimyczytac.pl/ksiazka/4905356/nasze-imie-legion-nasze-imie-bob,,Przeczytane,,test
5105152,Antykwariat pod salamandrą,Adam Przechrzta,,Magiczna Zielona Góra (tom 1),"7,3",577,1325,135,,https://lubimyczytac.pl/ksiazka/5105152/antykwariat-pod-salamandra,,Chcę przeczytać,,test
4937595,Wstrząsy wtórne,Marko Kloos,,Wojny palladowe (tom 1),"7,3",238,700,54,,https://lubimyczytac.pl/ksiazka/4937595/wstrzasy-wtorne,,Chcę przeczytać,,test
4957028,Beniamin Ashwood,A. C. Cobble,,Beniamin Ashwood (tom 1),"6,5",605,1261,134,6,https://lubimyczytac.pl/ksiazka/4957028/beniamin-ashwood,,Przeczytane,,test
4982657,Upadek Lewiatana,James S.A. Corey,,Expanse / Ekspansja (tom 9),"7,7",723,1590,84,,https://lubimyczytac.pl/ksiazka/4982657/upadek-lewiatana,,Przeczytane,,test
4905284,Gniew Tiamat,James S.A. Corey,,Expanse / Ekspansja (tom 8),"7,8",854,1869,76,,https://lubimyczytac.pl/ksiazka/4905284/gniew-tiamat,,Przeczytane,,test
4899212,Wzlot Persepolis,James S.A. Corey,,Expanse / Ekspansja (tom 7),"7,6",929,2065,75,,https://lubimyczytac.pl/ksiazka/4899212/wzlot-persepolis,,Przeczytane,,test
4890464,Prochy Babilonu,James S.A. Corey,,Expanse / Ekspansja (tom 6),"7,2",1046,2075,88,,https://lubimyczytac.pl/ksiazka/4890464/prochy-babilonu,,Przeczytane,,test
4875309,Gry Nemezis,James S.A. Corey,,Expanse / Ekspansja (tom 5),"7,7",1185,2278,87,,https://lubimyczytac.pl/ksiazka/4875309/gry-nemezis,,Przeczytane,,test
4851040,Wrota Abaddona,James S.A. Corey,,Expanse / Ekspansja (tom 3),"7,4",1521,2761,114,,https://lubimyczytac.pl/ksiazka/4851040/wrota-abaddona,,Przeczytane,,test
4850144,Wojna Kalibana,James S.A. Corey,,Expanse / Ekspansja (tom 2),"7,7",1792,3134,146,,https://lubimyczytac.pl/ksiazka/4850144/wojna-kalibana,,Przeczytane,,test
4846911,Przebudzenie Lewiatana,James S.A. Corey,,Expanse / Ekspansja (tom 1),"7,5",3030,7093,364,,https://lubimyczytac.pl/ksiazka/4846911/przebudzenie-lewiatana,,Przeczytane,,test
4864850,Gorączka Ciboli,James S.A. Corey,,Expanse / Ekspansja (tom 4),"7,5",1316,2485,96,7,https://lubimyczytac.pl/ksiazka/4864850/goraczka-ciboli,,Przeczytane,,test
5070650,King's Fall,Evan Currie,,Odyssey One (tom 8),"8,0",3,27,1,,https://lubimyczytac.pl/ksiazka/5070650/king-s-fall,,Przeczytane,,test
4872617,Odyssey One. W cieniu zagłady,Evan Currie,,Odyssey One (tom 7),"7,5",321,606,21,,https://lubimyczytac.pl/ksiazka/4872617/odyssey-one-w-cieniu-zaglady,,Przeczytane,,test
4844115,Odyssey One. Przebudzenie Odyseusza,Evan Currie,,Odyssey One (tom 6),"7,3",355,646,27,,https://lubimyczytac.pl/ksiazka/4844115/odyssey-one-przebudzenie-odyseusza,,Przeczytane,,test
4325122,Odyssey One. Król wojowników,Evan Currie,,Odyssey One (tom 5),"7,5",400,751,29,,https://lubimyczytac.pl/ksiazka/4325122/odyssey-one-krol-wojownikow,,Przeczytane,,test
252862,Odyssey One. W ogniu wojny,Evan Currie,,Odyssey One (tom 4),"7,4",480,874,33,,https://lubimyczytac.pl/ksiazka/252862/odyssey-one-w-ogniu-wojny,,Przeczytane,,test
237760,Odyssey One. Ostatni bastion,Evan Currie,,Odyssey One (tom 3),"7,6",529,926,36,,https://lubimyczytac.pl/ksiazka/237760/odyssey-one-ostatni-bastion,,Przeczytane,,test
224628,Odyssey One. W samo sedno,Evan Currie,,Odyssey One (tom 2),"7,2",579,1000,39,,https://lubimyczytac.pl/ksiazka/224628/odyssey-one-w-samo-sedno,,Przeczytane,,test
197385,Odyssey One. Rozgrywka w ciemno,Evan Currie,,Odyssey One (tom 1),"7,2",755,1631,104,,https://lubimyczytac.pl/ksiazka/197385/odyssey-one-rozgrywka-w-ciemno,,Przeczytane,,test
5035706,Smoki i demony,Kel Kade,,Kroniki mroku/King's Dark Tidings (tom 5),"7,6",390,923,55,6,https://lubimyczytac.pl/ksiazka/5035706/smoki-i-demony,,Przeczytane,,test
4972811,Królestwa i chaos,Kel Kade,,Kroniki mroku/King's Dark Tidings (tom 4),"7,5",652,1161,61,6,https://lubimyczytac.pl/ksiazka/4972811/krolestwa-i-chaos,,Przeczytane,,test
4972810,Legendy Ahn,Kel Kade,,Kroniki mroku/King's Dark Tidings (tom 3),"7,4",766,1297,69,6,https://lubimyczytac.pl/ksiazka/4972810/legendy-ahn,,Przeczytane,,test
4972809,Królestwo obłędu,Kel Kade,,Kroniki mroku/King's Dark Tidings (tom 2),"7,7",901,1596,113,7,https://lubimyczytac.pl/ksiazka/4972809/krolestwo-obledu,,Przeczytane,,test
4954385,Powiernik mieczy,Kel Kade,,Kroniki mroku/King's Dark Tidings (tom 1),"7,2",1244,2828,217,8,https://lubimyczytac.pl/ksiazka/4954385/powiernik-mieczy,,Przeczytane,,test
5073156,Bez prawa do błędu,Wasilij Machanienko,,Świat Przeistoczonych (tom 1),"6,9",391,672,69,6,https://lubimyczytac.pl/ksiazka/5073156/bez-prawa-do-bledu,,Przeczytane,,test
5114841,Perła południa,Wasilij Machanienko,,Świat Przeistoczonych (tom 2),"7,2",238,376,23,7,https://lubimyczytac.pl/ksiazka/5114841/perla-poludnia,,Przeczytane,,test
5074231,Pośród wrogów,Evan Currie,,Hayden War (tom 9),"7,4",112,228,15,8,https://lubimyczytac.pl/ksiazka/5074231/posrod-wrogow,,Przeczytane,,test
5061631,Pogranicze w ogniu,Evan Currie,,Hayden War (tom 8),"7,1",129,284,15,6,https://lubimyczytac.pl/ksiazka/5061631/pogranicze-w-ogniu,,Przeczytane,,test
4815552,Nowe otwarcie,Evan Currie,,Hayden War (tom 7),"7,1",220,425,17,6,https://lubimyczytac.pl/ksiazka/4815552/nowe-otwarcie,,Przeczytane,,test
3788489,De Oppresso Liber,Evan Currie,,Hayden War (tom 6),"7,3",261,474,18,7,https://lubimyczytac.pl/ksiazka/3788489/de-oppresso-liber,,Przeczytane,,test
3788459,Za wszelką cenę,Evan Currie,,Hayden War (tom 5),"7,2",265,486,16,7,https://lubimyczytac.pl/ksiazka/3788459/za-wszelka-cene,,Przeczytane,,test
309409,Zew Walhalli,Evan Currie,,Hayden War (tom 4),"7,4",279,501,16,7,https://lubimyczytac.pl/ksiazka/309409/zew-walhalli,,Przeczytane,,test
309408,Walkiria w ogniu,Evan Currie,,Hayden War (tom 3),"7,3",303,526,14,7,https://lubimyczytac.pl/ksiazka/309408/walkiria-w-ogniu,,Przeczytane,,test
300558,Narodziny Walkirii,Evan Currie,,Hayden War (tom 2),"7,2",323,572,18,7,https://lubimyczytac.pl/ksiazka/300558/narodziny-walkirii,,Przeczytane,,test
292780,Na srebrnych skrzydłach,Evan Currie,,Hayden War (tom 1),"7,0",421,871,43,7,https://lubimyczytac.pl/ksiazka/292780/na-srebrnych-skrzydlach,,Przeczytane,,test
5087702,Masa Krytyczna,Craig Alanson,,Expeditionary Force (tom 10),"7,8",126,293,12,,https://lubimyczytac.pl/ksiazka/5087702/masa-krytyczna,,Przeczytane,,test
5034562,Walkiria,Craig Alanson,,Expeditionary Force (tom 9),"7,6",150,310,17,,https://lubimyczytac.pl/ksiazka/5034562/walkiria,,Przeczytane,,test
5019806,Armagedon,Craig Alanson,,Expeditionary Force (tom 8),"7,4",159,309,10,,https://lubimyczytac.pl/ksiazka/5019806/armagedon,,Przeczytane,,test
